,id,date,rawContent,cleaned_content
49,21650,2022-08-05 23:51:48+00:00,Adore’s ‘Go Paula’ part always sends me… https://t.co/sNwTt02s05,adores go paula part always sends me
50,21651,2022-08-05 23:51:42+00:00,Hahahaha galing galing kase mag manipula ng tao,hahahaha galing galing kase mag manipula ng tao
51,21652,2022-08-05 23:51:32+00:00,Bed weather sana kaso hindi pa ako mayaman kaya trabaho muna. 🥲 https://t.co/TupUAvUGZG,bed weather sana kaso hindi pa ako mayaman kaya trabaho muna
52,21653,2022-08-05 23:51:02+00:00,@thejibdanny It reaaaaally issss i didn't expect it nga din eh!!!,it reaaaaally issss i didnt expect it nga din eh
53,21654,2022-08-05 23:50:55+00:00,Hindi na nga nakatagal dito at uuwe nako ng cavite with Llarah 🤣,hindi na nga nakatagal dito at uuwe nako ng cavite with llarah
54,21655,2022-08-05 23:50:54+00:00,Happy birthday @dhanigurl_ 😘 https://t.co/AhFdmPG9W2,happy birthday
55,21656,2022-08-05 23:50:52+00:00,"@gie_bagares Ou nga nang, nabasa ko she’s battling cancer pala nang. Eternal rest grant unto her and let perpetual light shine upon her.",ou nga nang nabasa ko shes battling cancer pala nang eternal rest grant unto her and let perpetual light shine upon her
56,21657,2022-08-05 23:50:45+00:00,@Songsa93 https://t.co/m6SJK7gjXs,
57,21658,2022-08-05 23:50:41+00:00,@rafcsts There is 5 i can gibb u 2 🥚🥚,there is 5 i can gibb u 2
58,21659,2022-08-05 23:50:16+00:00,sobrang benta ng ISCP 😭😂😂,sobrang benta ng iscp
59,21660,2022-08-05 23:49:54+00:00,"Ahh bale ngayon ko lang nalaman na yung black is not a color, shade lang pala sya. Okay salamat Tiktok.",ahh bale ngayon ko lang nalaman na yung black is not a color shade lang pala sya okay salamat tiktok
60,21661,2022-08-05 23:49:38+00:00,@pozitcanton Congrats!,congrats
61,21662,2022-08-05 23:49:22+00:00,My favorite since age 3😎😎😎 https://t.co/SfMpvmXhaU,my favorite since age 3
62,21663,2022-08-05 23:48:33+00:00,@sirwwabbit 😍😍😍😍😍,
63,21664,2022-08-05 23:48:31+00:00,"Hopia Kape sa maulang araw. Ingat sa lahat at mag vitamins para iwas sakit, God bless
#piesilog",hopia kape sa maulang araw ingat sa lahat at mag vitamins para iwas sakit god bless
64,21665,2022-08-05 23:48:28+00:00,@pops_rr_19 I know. Hahaha.,i know hahaha
65,21666,2022-08-05 23:48:17+00:00,@doncarlopoz Halinun jud ka ana! Hahaha,halinun jud ka ana hahaha
66,21667,2022-08-05 23:48:12+00:00,@__ja9rose luh,luh
67,21668,2022-08-05 23:48:01+00:00,"cuddle weather, indeed.",cuddle weather indeed
68,21669,2022-08-05 23:47:46+00:00,Former President FVR being conferred the rank of Knight Grand Cross of Rizal. Non Omnis Moriar Sir 🫡🇵🇭 https://t.co/9jUGiWPAfc,former president fvr being conferred the rank of knight grand cross of rizal non omnis moriar sir
69,21670,2022-08-05 23:47:07+00:00,@ProfHeist Panda and Apache,panda and apache
70,21671,2022-08-05 23:46:54+00:00,"Barcenilla saves day. Read People's Tonight, Aug. 5
https://t.co/pPJzK0rOle @FIDE_chess  @SusanPolgar  @psc_gov #FIDEWorldChessOlympiad2022 #ChennaiChess2022  #PinoyPride #chess",barcenilla saves day read peoples tonight aug 5
71,21672,2022-08-05 23:46:49+00:00,@pops_rr_19 @Sa_chriz_Tan Winnnur! 😆,winnnur
72,21673,2022-08-05 23:46:46+00:00,Wow this bed weather. I had a really comfortable sleep last night.,wow this bed weather i had a really comfortable sleep last night
