,id,date,rawContent,cleaned_content
14,17815,2022-06-28 23:51:12+00:00,@MistaBoateng Stop fooling 😠,stop fooling
15,17816,2022-06-28 23:51:12+00:00,@DimplesOpeyemi U know what u are saying is untrue but yet still u guys are giving us too much to think.,u know what u are saying is untrue but yet still u guys are giving us too much to think
16,17817,2022-06-28 23:51:06+00:00,@DeadlineDayLive It is what? 😤,it is what
17,17818,2022-06-28 23:50:35+00:00,They might just shoot me cos some crazy reverse I go pull scratch the car. https://t.co/e3VrktCLzY,they might just shoot me cos some crazy reverse i go pull scratch the car
18,17819,2022-06-28 23:50:26+00:00,"Just posted a photo @ Accra, Ghana https://t.co/N371AE8OrC",just posted a photo accra ghana
19,17820,2022-06-28 23:50:08+00:00,"@TatianaLovie Stop deceiving us dear,guys wise up.!!!",stop deceiving us dearguys wise up
20,17821,2022-06-28 23:48:51+00:00,"Ade Akye biom!!
Alhamdulillah 
🕊️",ade akye biom alhamdulillah
21,17822,2022-06-28 23:48:45+00:00,How is that possible https://t.co/gngbAQcQfL,how is that possible
22,17823,2022-06-28 23:48:33+00:00,@KobbyBl97245510 @kwaku_majesty_ 💔💔😂😂😂😂😂,
23,17824,2022-06-28 23:48:25+00:00,"Highlife Legend, Amakye Dede, and Grammy Award-winning reggae artist @grampsmorgan are expected to thrill patrons with authentic music as they cruise in Greece.

📌 Maiden edition of the Afro Cruise Jam — an event by Afro people Limited.",highlife legend amakye dede and grammy award winning reggae artist are expected to thrill patrons with authentic music as they cruise in greece maiden edition of the afro cruise jam an event by afro people limited
24,17825,2022-06-28 23:48:15+00:00,@Camidoh 🔥 🔥 🔥 https://t.co/sgSe1XiQbQ,
25,17826,2022-06-28 23:48:09+00:00,@Efua_ampofoa adey feel leaks too o 🤔,adey feel leaks too o
26,17827,2022-06-28 23:48:08+00:00,I cry whenever I feel so sick that I can’t enjoy water. I’m always so grateful for the satisfying taste of water. https://t.co/fjqphwUfP1,i cry whenever i feel so sick that i cant enjoy water im always so grateful for the satisfying taste of water
27,17828,2022-06-28 23:47:24+00:00,@kweku_phil This Idi Amin Nana Addo can't be and never be my president...beside I never voted for him though.,this idi amin nana addo cant be and never be my president beside i never voted for him though
28,17829,2022-06-28 23:47:04+00:00,Enjoy Life 😊,enjoy life
29,17830,2022-06-28 23:46:55+00:00,@SaddickAdams Messi’s friend 😂,messis friend
30,17831,2022-06-28 23:46:54+00:00,@SonOfMansah Couldn’t find it,couldnt find it
31,17832,2022-06-28 23:46:43+00:00,@Slim411 You see why Politicians will always use us .. he doesn’t even know what he is holding 🤣🤣🤣🤣,you see why politicians will always use us he doesnt even know what he is holding
32,17833,2022-06-28 23:46:15+00:00,"As a man thinks, so he is…👌",as a man thinks so he is
33,17834,2022-06-28 23:45:50+00:00,"@kweku_phil God forbid Bruh, I will never and ever belong to such wicked npp party.",god forbid bruh i will never and ever belong to such wicked npp party
34,17835,2022-06-28 23:45:18+00:00,How much is Titus Sardine in your area?,how much is titus sardine in your area
35,17836,2022-06-28 23:44:14+00:00,If I get 2rounds tonight I wil go oh 😎,if i get 2rounds tonight i wil go oh
36,17837,2022-06-28 23:43:59+00:00,@__codebug We shall see 💀,we shall see
37,17838,2022-06-28 23:43:46+00:00,@MoniMonroee03 Show mi😊😁,show mi
38,17839,2022-06-28 23:43:12+00:00,@streatceo 😂😂 Herh this guy,herh this guy
39,17840,2022-06-28 23:42:43+00:00,@Omah_Lay Fa wo gyimiii k)da,fa wo gyimiii k da
40,17841,2022-06-28 23:42:34+00:00,@__theSeyram Favorite quote💪🏻💪🏻🙏🏼✅✅,favorite quote
41,17842,2022-06-28 23:42:13+00:00,Amen https://t.co/O6KQnIPSZh,amen
42,17843,2022-06-28 23:40:12+00:00,God is good 🙏🏾,god is good
43,17844,2022-06-28 23:39:29+00:00,"#AriseGhana 
#AriseGhanaProtest https://t.co/ePLoVyfFOX",
